orig, dest, cnt
can_42_6_gadm2-8,fra_79_1_gadm2-8,0
can_42_7_gadm2-8,hnd_101_6_gadm2-8,0
can_42_9_gadm2-8,idn_106_33_gadm2-8,7
can_42_9_gadm2-8,mda_147_12_gadm2-8,27
can_42_9_gadm2-8,mex_145_11_gadm2-8,74
can_42_9_gadm2-8,pol_181_8_gadm2-8,0
can_42_9_gadm2-8,zaf_211_3_gadm2-8,129
che_223_25_gadm2-8,alb_4_11_gadm2-8,154
che_223_25_gadm2-8,rus_188_32_gadm2-8,1
che_223_8_gadm2-8,pri_183_65_gadm2-8,22
chl_48_11_gadm2-8,chl_48_5_gadm2-8,60
chl_48_13_gadm2-8,per_178_22_gadm2-8,20
chl_48_13_gadm2-8,tur_235_54_gadm2-8,0
chl_48_5_gadm2-8,che_223_8_gadm2-8,1
chl_48_5_gadm2-8,esp_215_8_gadm2-8,12
chl_48_5_gadm2-8,mex_145_20_gadm2-8,2
chl_48_6_gadm2-8,che_223_8_gadm2-8,1
chl_48_6_gadm2-8,chn_49_24_gadm2-8,1
chl_48_6_gadm2-8,dnk_64_1_gadm2-8,1
chl_48_6_gadm2-8,dom_66_5_gadm2-8,3
chl_48_6_gadm2-8,jpn_114_41_gadm2-8,2
chl_48_9_gadm2-8,col_53_14_gadm2-8,31
chn_49_10_gadm2-8,ind_105_16_gadm2-8,2
chn_49_10_gadm2-8,mys_136_4_gadm2-8,59
chn_49_10_gadm2-8,rus_188_14_gadm2-8,1
chn_49_13_gadm2-8,mys_136_14_gadm2-8,64
chn_49_13_gadm2-8,usa_244_28_gadm2-8,0
chn_49_13_gadm2-8,usa_244_48_gadm2-8,108
chn_49_14_gadm2-8,aus_15_11_gadm2-8,50
chn_49_15_gadm2-8,omn_170_11_gadm2-8,6
chn_49_19_gadm2-8,ita_112_6_gadm2-8,2
chn_49_19_gadm2-8,pak_171_8_gadm2-8,29
chn_49_1_gadm2-8,mmr_154_15_gadm2-8,47
chn_49_1_gadm2-8,zaf_211_9_gadm2-8,1
chn_49_20_gadm2-8,eth_74_1_gadm2-8,18
chn_49_21_gadm2-8,chn_49_8_gadm2-8,47
